Shipping Source,DC,Flow,Fibers
Alabama,"15,000.00","14,000.00","14,000.00"
Alberta,"16,000.00","15,000.00","15,000.00"
Arizona,"15,000.00","14,000.00","14,000.00"
Arkansas,"16,000.00","15,000.00","15,000.00"
British Columbia,"15,000.00","14,000.00","14,000.00"
California,"15,000.00","14,000.00","14,000.00"
Colorado,"15,000.00","14,000.00","14,000.00"
Connecticut,"16,000.00","15,000.00","15,000.00"
Delaware,"16,000.00","15,000.00","15,000.00"
Florida,"16,000.00","15,000.00","15,000.00"
Georgia,"16,000.00","15,000.00","15,000.00"
Idaho,"16,000.00","15,000.00","15,000.00"
Illinois,"16,000.00","15,000.00","15,000.00"
Indiana,"16,000.00","15,000.00","15,000.00"
Iowa,"16,000.00","15,000.00","15,000.00"
Kansas,"16,000.00","15,000.00","15,000.00"
Louisiana,"16,000.00","15,000.00","15,000.00"
Maine,"16,000.00","15,000.00","15,000.00"
Maryland,"16,000.00","15,000.00","15,000.00"
Massachusetts,"16,000.00","15,000.00","15,000.00"
Michigan,"15,000.00","14,000.00","14,000.00"
Minnesota,"16,000.00","15,000.00","15,000.00"
Mississippi,"16,000.00","15,000.00","15,000.00"
Missouri,"16,000.00","15,000.00","15,000.00"
Missouri,"16,000.00","15,000.00","15,000.00"
Montana,"16,000.00","15,000.00","15,000.00"
Nebraska,"17,000.00","15,000.00","15,000.00"
Nevada,"16,000.00","15,000.00","15,000.00"
New Hampshire,"16,000.00","15,000.00","15,000.00"
New Jersey,"16,000.00","15,000.00","15,000.00"
New Mexico,"16,000.00","15,000.00","15,000.00"
New York,"16,000.00","15,000.00","15,000.00"
North Carolina,"15,000.00","14,000.00","14,000.00"
North Dakota,"16,000.00","15,000.00","15,000.00"
Ohio,"15,000.00","14,000.00","14,000.00"
Oklahoma,"16,000.00","15,000.00","15,000.00"
Ontario,"15,000.00","14,000.00","14,000.00"
Oregon,"15,000.00","14,000.00","14,000.00"
Pennsylvania,"16,000.00","15,000.00","15,000.00"
Quebec,"15,000.00","14,000.00","14,000.00"
Rhode Island,"16,000.00","15,000.00","15,000.00"
Saskatchewan,"15,000.00","14,000.00","14,000.00"
South Carolina,"16,000.00","15,000.00","15,000.00"
South Dakota,"16,000.00","15,000.00","15,000.00"
Tennessee,"16,000.00","15,000.00","15,000.00"
Texas,"16,000.00","15,000.00","15,000.00"
Utah,"16,000.00","15,000.00","15,000.00"
Vermont,"16,000.00","15,000.00","15,000.00"
Virginia,"15,000.00","14,000.00","14,000.00"
Washington,"15,000.00","14,000.00","14,000.00"
West Virginia,"15,000.00","14,000.00","14,000.00"
Wisconsin,"16,000.00","15,000.00","15,000.00"
Wyoming,"16,000.00","15,000.00","15,000.00"
